sentiment,text
Neutrale,Complimenti a Antitrust ! A Ferragni una grande caduta di stile perché con la beneficienza è doppiamente importante essere trasparenti #soloinitalia
Neutrale,Le famose beneficienze dei due avidi
Neutrale,E monelli!!
Contro Chiara Ferragni,Speriamo che paghi !
Felice,Sperando che sia la prima di una lunga serie e che i vari sponsor inizino a ritirare i loro spot con la chiaretta
Neutrale,Il natale quando arriva arriva...
Contro Chiara Ferragni,Deplorevole  scandaloso e pure vigliacco  una vergogna è  purtroppo  a malincuore  ci sono persone  che seguendo  queste ignobili persone  gli fanno  guadagnare  un sacco di soldi bisognerebbe  proprio  ignorarli cazzo come siamo  caduti in  basso!!!!!!
Neutrale,complimenti antitrust
Contro Chiara Ferragni,Si deve vergognare
Contro Chiara Ferragni,Si pensava che acquistare il pandoro si faceva beneficenza... di fatto si è intascata  i SOLDI alla faccia di chi era convinto di fare del bene
Neutrale,Poco
Neutrale,"Il danno economico è sciocco, perché versare 1 milione di euro per lei sará uno scherzo..
Il problema sarà l’immagine…."
Neutrale,È appena uscito il pandoro della Ferragni per Natale 2023. Acquistandolo potrete contribuire a pagare la multa per quello del 2022.
Neutrale,La compagna panottara😅😆😉
Neutrale,Un milione di euro sono come 100 euro per i comuni mortali
Neutrale,"Non me la prendo con lei, ma con coloro che sono tanto creduloni!"
Contro Chiara Ferragni,Tra lei ed il nanetto piagnone .... una bella gara a chi specula di più....bella accoppiata!!
Neutrale,"Immagino non dormirà più la notte,al pensiero di come farà, a pagare questa abnorme multa…😁"
Contro Chiara Ferragni,"Questi sono i personaggi che fanno sempre soldi alla faccia dei creduloni,che faccia tosta,pensatevi liberi da questa gentaglia"
Neutrale,Solo?
Neutrale,Che tristezza....
Neutrale,Appena sentito al TG...che gente di m.....
Neutrale,La stessa cosa se noi dovessimo sborsare un euro￼…
Neutrale,Quest'anno il piccolo Leone riceverà per Natale un garage in meno....
Neutrale,Se esistono certe.... persone la colpa è solo nostra.
Neutrale,Adesso la sua voglia di rimanere sempre in mutande sarà esaudita.
Neutrale,Il karma ogni tanto funziona
Contro Chiara Ferragni,Vomitevoli
Neutrale,La paldina della sinstra🤣🤣🤣
Neutrale,"Al 41 Bis,,🪿🪿"
Neutrale,"Ad essere maligni, si potrebbe anche pensare che lei avesse già messo in conto questo verbale, ma che con la pubblicità ""illegale"" gli sarebbero entrati più compensi che  sarebbero maggiori della cifra ricevuta nel verbale.. ad essere maligni ovviamente. Prove non ce ne sono. Però un pensierino potrebbe anche venire in mente..."
Neutrale,La Balocco... ditta piemontese... quelli seri.....😂😎
Non Classificato,Pensati sanzionata.
Neutrale,Sarà la punta dell'iceberg?
Neutrale,Parliamo di un ospedale pediatrico. Vergognosa
Neutrale,speriamo che sia vero
Neutrale,"Ha guadagnato un milione di euro, gli hanno fatto una multa da un milione di euro......praticamente non gli hanno fatto niente!"
Neutrale,Io darei la multa anche a quelli che lo ha comperato
Neutrale,"La beneficienza è il peloso fondamento di certi business.
La carità è silenziosa sennò è marketing."
Neutrale,Caramelle per lei
Contro Chiara Ferragni,Ai followers della ferragni dovrebbero togliere il diritto di voto in quanto incapaci di pensare con la loro testa.
Neutrale,Sembrerebbe che gli introiti derivanti ammontassero ad oltre 1M … quindi in definitiva quel denaro lo dovrebbe semplicemente dirottare allo Stato …? E la sanzione quale sarebbe…?
Neutrale,Ma vi rendete conto che gente sono!
Neutrale,"Mi piace perché su questa notizia tutti gli ignoranti ovviamente se la prenderanno con la Ferragni, ma alla fine a pagare sarà la Balocco e, soprattutto, i suoi lavoratori...mentre gli sciacalli esultano questo rischiano di perdere seriamente il lavoro..."
Non Classificato,Godo
Neutrale,Per lei rappresenterà una cifra risibile…
Neutrale,Qualcuno ha visto il carrello tricolore?
Felice,Godo
Neutrale,"I "" deficenter "" che la seguono faranno sicuramente una colletta per non farla piangere .
Rovinandole il trucco ..."
Contro Chiara Ferragni,"Mi lascia indifferente, a priori scarto quello che pubblicazza lei e figuri simili."
Neutrale,Ne tieni mai tanti di euro. Un milione sotto un milione sopra cosa ti cambia.
Contro Chiara Ferragni,"Squallore ,e poi c'è chi stima questo personaggio"
Neutrale,Non mi pare che pianga
Contro Chiara Ferragni,Cercano sempre di arricchirsi alle spalle dei creduloni. Se ne fanno 1 buone 50 sono sbagliate
Neutrale,Pochi
Neutrale,Ad ogni modo la multa pagata andrebbe in mano allo stato e non in beneficenza. O sbaglio?!
Neutrale,Per lei sono spiccioli
Neutrale,... miette mano 'a sacca .
Neutrale,Munnezz
Neutrale,"Se mai dovesse pagare la sanzione, tale somma che sia investita nella sanità"
Neutrale,"Che vuoi che sia, come una multa in divieto di sosta."
Contro Chiara Ferragni,Glieli daranno i BOCCALONI CHE LA SEGUONO …
Felice,"Ohhh Mamma, ora non vivremo più dal sovrappensiero 🤣🤣🤣🤣. Aggiungo.....ma chii se ne......😆"
Neutrale,Che sia da organizzare una colletta ? 🤣
Neutrale,Il giornale prende finanziamenti pubblici?
Neutrale,E adesso Balocco farà una bella causa a sta scappata de casa senza vergogna
Neutrale,È come un euro per noi
Neutrale,Fra donazioni e fregature ha un suo equilibrio.....😉
Neutrale,Prima o poi la verità viene a galla
Pro Chiara Ferragni,"No dai,poverina, è brava e sensibile ai più bisognosi,gli aggiunge bisogno.......... comunque non mi sorprende"
Neutrale,I soliti sinistri
Contro Chiara Ferragni,Bella figura di 💩
Neutrale,"Capirai, sono spiccioli per lei"
Felice,“PENSATI SANZIONATA”cit
Contro Chiara Ferragni,Che schifo. Ovviamente la magistratura non indaga
Neutrale,"Patteggera’ 50 mila e pace
Certo che non le bastano i miliardi di euro"
Neutrale,Mi fanno ridere i commenti di quei geni che credono contemporaneamente che i soldi dovrà sborsarli madama direttamente dalle sue tasche e pure che le ricchezze di costei siano infinite come quelle del sultano del Brunei o della famiglia reale Saudita !
Neutrale,"Complimenti davvero, non comprerò mai più prodotti BALOCCO, della Ferragni non mi è mai fregato nulla."
Neutrale,Per te sono bricciole
Contro Chiara Ferragni,"È ora, che questa faccia da santa non faccia tanto la furba non pagando quel che gli spetta"
Neutrale,Tanto li ha sono noccioline per lei
Contro Chiara Ferragni,In fabbrica dovrebbe finire.
Neutrale,"Ma quanto mi dispiace, passerò le feste ridendo"
Neutrale,ora IMMAGINATI in manovia a fare le colombe !!
Pro Chiara Ferragni,Brava Chiaretta!! SENTITI MULTATA e PAGA.
Neutrale,"Godo come una faina in un pollaio, di notte, con la luna piena e senza cani di guardia"
Neutrale,"N'altra Sumahoro  , con sti poveri si arricchiscono tutti"
Neutrale,"Troppo poco, almeno un centinaio di milioni dovevano essere"
Contro Chiara Ferragni,Solo gentaglia
Neutrale,Ma chi è?
Neutrale,E sti.......!!!
Neutrale,"Chissà se  un po' di spocchia e ricchezza d'ora in poi verrà meno, fare soldi in modo si indegno e ostentando è una offesa a chi non ha garantito un piatto di minestra"
Neutrale,Ma  siamo il paese dei balocchi!.... fate i buoni mi raccomando.
Neutrale,la pdota questa volta pagherà?
Neutrale,Il paese dei.... Balocchi
