date_of_post,Comment,sentiment
2023-10-25,😍 foto 1 bellissime 😍,Positive
2023-10-25,可愛ね,Positive
2023-10-25,Complimenti alla super coppia 😍,Positive
2023-10-25,Muerooo! 😍❤️,Positive
2023-10-25,Belli ❤️❤️❤️❤️,Positive
2023-10-25,Che bello l'albero genealogico con fotogragie e scritto in inglese 👏,Positive
2023-10-25,❤️❤️❤️❤️❤️❤️❤️❤️,Positive
2023-10-25,❤️❤️❤️❤️❤️,Positive
2023-10-25,🤍🤍🤍,Positive
2023-10-25,❤️,Positive
2023-10-25,Semplicemente  meravigliose,Positive
2023-10-25,❤️❤️❤️❤️❤️,Positive
2023-10-25,😍😍😍😍,Positive
2023-10-25,Belle ...che gioia vedervi ridere,Positive
2023-10-25,😍,Positive
2023-10-25,❤️,Positive
2023-10-25,❤️❤️❤️,Positive
2023-10-25,Top !..❤️👏👏👏,Positive
2023-10-25,Fedez pare dimagrito😢 spero si possa riprendere al meglio 🤞🏼,Neutral
2023-10-25,"Free Israeli children from Hamas🇮🇱🇮🇱🇮🇱🇱🇷🇱🇷🇱🇷 Hamas took little baby from her mothers to Gaza ,",Negative
2023-10-25,❤️❤️❤️❤️,Positive
2023-10-25,Sarebbe interessante sapere chi ha scelto le foto!,Neutral
2023-10-25,"Bella, famiglia, bellissima coppia!! Ragazzi avanti tutta così!! Bravi👏",Positive
2023-10-25,La 5 è una delle più belle foto di sempre ❤️,Positive
2023-10-25,Che bello l'albero genealogico di Leo!!!❤️,Positive
2023-10-25,"Tu Federico sei assolutamente carino, ma Chiara è super-issima",Neutral
2023-10-25,Bravissimo Leoncino🦁❤️,Positive
2023-10-25,Buona serata,Positive
2023-10-25,🫶❤️❤️❤️❤️,Positive
2023-10-25,Demand for ceasefire on PalestinƏ 🇵🇸🇵🇸🇵🇸🇵🇸,Positive
2023-10-25,No vabbeh ma la Vitto nella prima foto? 😍😍😍,Positive
2023-10-25,Risulta anche a me che è figlio unico,Positive
2023-10-25,Come sta Fedez?,Neutral
2023-10-25,"Ciao Chiara, ci piacerebbe moltissimo regalare a Vittoria e Leone degli UTO BOX! Come possiamo spedirveli?",Positive
2023-10-25,😍,Positive
2023-10-25,😍,Positive
2023-10-25,❤️,Positive
2023-10-25,Che belle ragazze!,Positive
2023-10-25,So cute😍🔥,Positive
2023-10-25,Supporting people without intelligence that all they write is incitement to murder. ignorant,Negative
2023-10-25,🇵🇸🇵🇸🇵🇸,Positive
2023-10-25,Hermosas ❤️❤️,Positive
2023-10-25,#starlinkforgaza #ceasefirenow,Positive
2023-10-25,Sei una splendida mamma ♥️♥️♥️♥️♥️,Positive
2023-10-25,famiglia molto felice😍😍,Positive
2023-10-25,Love?!.,Positive
2023-10-25,"Bellissimo disegno 😻 Magari la foto della Ferragni poteva essere quella senza trucco e in cui non fosse sul Red carpet semplicemente la foto di ""mamma""",Neutral
2023-10-25,"Chiara, hai una bella famiglia❤️❤️❤️❤️alla faccia degli invidiosi❤️❤️❤️",Positive
2023-10-25,❤️❤️❤️❤️❤️❤️ que lindas!,Positive
2023-10-25,"Ciao Chiara e Fede,, mi chiamo Marianna e sono la proprietaria di Iris, una meravigliosa pinscher di 10 anni alla quale hanno diagnosticato un meningioma. Tale tumore va asportato chirurgicamente, altrimenti le aspettative di vita sono di due mesi. Ho creato una raccolta fondi ed ho allegato anche referto della risonanza magnetica (effettuata lo scorso 19/10) con nome della clinica e mie generalità per evitare dubbi e sciacallaggi vari. Ti lascio il link e ti ringrazio di cuore se vorrai condividerlo affinché la mia Iris possa restare con noi ancora un pò. Veramente basta anche solo 1 euro se a donare si è in tanti. Grazie infinite. Marianna.  https://gofund.me/eebddc24",Positive
2023-10-25,che carino l’albero genealogico in inglese 🥺,Positive
2023-10-25,❤️❤️👏👏,Positive
2023-10-25,🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱,Neutral
2023-10-25,Siete bellissime,Positive
2023-10-25,Bellissimi,Positive
2023-10-25,😍😍😍😍😍😍😍😍😍,Positive
2023-10-25,😍👏😍,Positive
2023-10-25,עם ישראל חי 💙 🤍🔯🔯,Positive
2023-10-25,خدا حفظشون کنه آمین,Positive
2023-10-25,Beautiful baby you have there,Positive
2023-10-25,"Bellissime, il giubbotto di Vittoria che brand è?",Positive
2023-10-25,vezi poate ai treaba prin franta,Positive
2023-10-25,Ciao Chiara siete bellissimi,Positive
2023-10-25,🤢,Negative
2023-10-25,Nella settima foto la tua espressione del viso è uno splendore!!😍😍❤️❤️🔥🔥,Positive
2023-10-25,❤️❤️,Positive
2023-10-25,Family tree🥰🥰,Positive
2023-10-25,Quanto siete belle 😍,Positive
2023-10-25,Singing in the rain,Positive
2023-10-25,Bellissime❤️,Positive
2023-10-25,Che cappotti bellissimi 😍,Positive
2023-10-25,🌺😍😍🌺👌🏼📸beautiful,Positive
2023-10-25,Splendida  famiglia 😍,Positive
2023-10-25,Lovely family 💕,Positive
2023-11-18,❤️❤️❤️❤️❤️,Positive
2023-11-18,🩵🩵🩵,Positive
2023-11-18,❤️❤️❤️❤️,Positive
2023-11-18,😂😂😂😂,Positive
2023-11-18,"Oh dio, mi piace la 7 foto 😍",Positive
2023-11-18,❤️,Positive
2023-11-18,😍😍,Positive
2023-11-18,Helal kız sana,Positive
2023-11-18,My God !!!!❤️❤️❤️,Positive
2023-11-18,Magnifico il rossetto della foto n.7!,Positive
2023-11-18,❤️❤️❤️❤️❤️❤️❤️❤️❤️,Positive
2023-11-18,"Deve essere orrendo stare sempre sotto i riflettori, vestiti per fare pubblicità, certo è una scelta, ma a quante rinunce ti porta questa scelta, stare coi figli senza metterti in posa, io mi sono trovata anni fa a fare una scelta non ho avuto dubbi, è stato faticoso,ma vuoi mettere vedere crescere i tuoi figli senza essere obbligata ad essere sempre perfetta:)",Negative
2023-11-18,Cute but not proper English.,Positive
2023-11-18,❤️,Positive
2023-11-18,"Brutta bestia,la gelosia 🔥🔥",Negative
2023-11-18,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Positive
2023-11-18,Il giardino  d?,Positive
2023-11-18,Beautiful💞💞💞💞💞💞,Positive
2023-11-18,Siete meravigliosi ❤️❤️❤️❤️❤️,Positive
2023-11-18,😜,Neutral
2023-11-18,I biondi più belli 😍😍😍😍,Positive
2023-11-18,❤️❤️❤️❤️❤️❤️❤️,Positive
2023-11-18,❤️,Positive
2023-11-18,"Bella famiglia, ciao",Positive
2023-11-18,❤️❤️❤️❤️❤️,Positive
2023-11-18,❤️❤️❤️❤️❤️😍😍😍😍,Positive
2023-11-18,L invidia è una brutta bestia,Negative
2023-11-18,Beatiful,Positive
2023-11-18,E lei mangia  troppo carina 😍😍😍😍😍😍,Positive
2023-11-18,😍😍beautiful,Positive
2023-11-18,Leone ormai sa l'inglese già meglio di me,Positive
2023-11-18,"dato il potere mediatico che ha/dovrebbe avere/sostiene di avere, mi sarei aspettata una parolina per Giulia, mentre tutta la Nazione segue questa vicenda, Lei fa finta di niente. Non ho apprezzato. non bombardatemi per favore.",Negative
2023-11-18,❤️❤️❤️,Positive
2023-11-18,"Sempre più botulino, fra un po le scoppia il viso",Negative
2023-11-18,😍😍😍😍,Positive
2023-11-18,Tutta invidia,Negative
2023-11-18,❤️,Positive
2023-11-18,Wow,Positive
2023-11-18,❤️❤️❤️❤️,Positive
2023-11-18,😍😍😍❤️❤️❤️,Positive
2023-11-18,Siete bellissimiiiiiiiiiiiiiiiiiiiiiiii,Positive
2023-11-18,Che belli che siete,Positive
2023-11-18,😃✌✌,Positive
2023-11-18,❤❤❤❤❤,Positive
2023-11-18,siete MERAVIGLIOSI ❤️🙌,Positive
2023-11-18,❤️,Positive
2023-11-18,La vitto maravillosa 😍❤️❤️❤️,Positive
2023-11-18,"Wow ,meravigliosi❤️❤️❤️",Positive
2023-11-18,Come tt le famiglie anche loro vanno al circolo. Voi criticate sempre e comunque,Negative
2023-11-18,Bby ♥️🤲,Positive
2023-11-18,Non lo hai capito che questo è lavoro e che le sorti della Palestina non dipendono da lei????,Negative
2023-11-18,Penso proprio sappia fare solo quello...,Positive
2023-11-18,"Adoro Vito, sempre che mangia 😂❤️",Positive
2023-11-18,che belliiiii,Positive
2023-11-18,Tantissimi auguri,Positive
2023-11-18,👏👏👏Awesome,Positive
2023-11-18,Che meraviglia😍,Positive
2023-11-18,аап бахут ачы хо,Negative
2023-11-18,❤️❤️❤️,Positive
2023-11-18,🤮,Negative
2023-11-18,❤️,Positive
2023-11-18,❤️,Positive
2023-12-06,😂😂😂😂😂😂il babbo natale che 🤣 adora la vitto,Positive
2023-12-06,Bellissimi ❤️❤️❤️Leo e vitto,Positive
2023-12-06,Evil Child 😂,Negative
2023-12-06,La gioia di vittoria?????? Che emozione 💝,Positive
2023-12-06,Ma é franco dei duraccel?,Positive
2023-12-06,La felicità dei bambini è una cosa meravigliosa 😍😍siete stupendi ❤️,Positive
2023-12-06,❤️❤️❤️❤️,Positive
2023-12-06,😍😍😍😍😍😍😍,Positive
2023-12-06,Mi sa che è veramente lui!!! 😂😂😂,Positive
2023-12-06,"❤️❤️ Leo mi troppo ridere, con quella faccina da furbetto secondo me non se la beve 🤣🤣",Positive
2023-12-06,"Questa volta fedez ha rinunciato, la volta scorsa Leone l’aveva sgamato troppo presto. 🤣",Neutral
2023-12-06,😍😍😍,Positive
2023-12-06,Guarda Lei! Che trapolina 🌸,Positive
2023-12-06,Bravissima condivido il tuo pensiero,Positive
2023-12-06,"non è questo il questione ! ma il fatto che il babbo natale è un personaggio misterioso chi teoricamente agisce nascosto senza farsi vedere … si incontrava al massimo negli centri commerciali- a disposizione appunto a tutti i bambini un po come in USA, ma tutti i bambini avevano la possibilità di “raggiungerlo “ volendo ! Ma come si sentino i altri bambini vedendo questi immagini ?! porgono la domanda all istante - perchè a casa si Vitto viene personalmente il babbo natale ? pure si fa vedere e toccare ?! perche a casa mia non mi viene ? insomma dai il babbo natale non fa visite in casa dai ricci ! invece …. secondo la Ferragnez Si ! …non è invidia questa ! ma stanno esagerando",Negative
2023-12-06,❤️❤️❤️❤️,Positive
2023-12-06,In Germania per esempio c’è San Nicola “Nikolaus” che porta piccoli doni ai bambini,Positive
2023-12-06,Che meraviglia! ❤️,Positive
2023-12-06,Brava!!!! Hai perfettamente ragione 👏👏👏👏,Positive
2023-12-06,Grazie a Dio non soffro di invidia anzi sono molto contenta che dei bimbi abbiano potuto volare sulle ali della fantasia ❤️❤️❤️,Positive
2023-12-06,Ma voi siete fuori babbo natale lo trovi ovunque anche adesso..io ho fatto la foto la settimana scorsa con il bambino siete solo tristemente invidiosi e basta,Negative
2023-12-06,Troppi belli leone e vittoria😍❤️,Positive
2023-12-06,❤️❤️,Positive
2023-12-06,Vitto is a radiance of positivity and hapiness. God bless both your children,Positive
2023-12-06,Che belli ❤️❤️,Positive
2023-12-06,Belissimi❤️ complimenti Fedez e chiara,Positive
2023-12-06,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Positive
2023-12-06,Che belli questi bimbi🔥🔥🔥,Positive
2023-12-06,Che ne sai che sono povera,Negative
2023-12-06,Splendidi 👏👏👏👏👏🎅🤶,Positive
2023-12-06,A voi santa vi spiccia casa😂😂😂😂😂,Negative
2023-12-06,"L'albero a ottobre, babbo natale il 6 dicembre........ dopodomani festeggiate il Ferragosto?",Neutral
2023-12-06,🥹❤️🎅🏻 per loro deve essere bellissimo..!,Positive
2023-12-06,Babbo Natale é Babbo Natale.... e San Nicolò é un altra cosa.... fra poco arriva il coniglio di Pasqua a Capodanno,Positive
2023-12-06,vitto 😭🥹🥺,Positive
2023-12-06,infatti dipende sempre da cosa loro hanno detto ai bambini…,Neutral
2023-12-06,How much was it,Positive
2023-12-06,Oddio ma pensavo che babbo Natale fosse una favola 😯 ma esiste per davvero 😍🥰♥️,Positive
2023-12-06,,Positive
2023-12-06,,Positive
2023-12-06,La Vitto sempre più simpatica e coccolona❤️❤️❤️❤️,Positive
2023-12-06,Condivido pienamente il 3pensiero ❤️l'invidia è il male di questo pianeta,Negative
2023-12-06,❤️❤️❤️❤️,Positive
2023-12-06,Un po’ in anticipo però…,Neutral
2023-12-06,"Natale è una festività cristiana che celebra la nascita di Gesù…  loro non sono cristiani, ma incoerenti!",Negative
2023-12-06,"Ho dovuto fare una foto all’età di Vittoria piangendo come una matta per la paura. Lei è supersonica e io la adoro, tua figlia ❤️",Positive
2023-12-06,❣️❣️❣️❣️❣️,Positive
2023-12-06,Certo che l'invidia assurdo la cattiveria che vedo,Negative
2023-12-06,"La VITTO, troppo felice con il suo mito BABBO NATALE😂😍❤️",Positive
2023-12-06,😍😍😍😍😍,Positive
2023-12-06,MeravigliosI 😍,Positive
2023-12-06,❤️❤️❤️❤️,Positive
2023-12-06,"giax.photography Buon Natale Fedex Mio figlio quest'anno mi ha fatto un regalo inaspettato: mi ha fatto ascoltare la sua prima canzone da solista che ha pubblicato su Spottify e mi ha fatto emozionare con le parole della canzone che sono un inno alla vita che siamo noi perché' tutto e' nella nostra testa.
Canzone ""nella testa"" by ""forza"". https://
open.spotify.com/track/
2blop6U7YiajVZtZOellyn?
si=n1kOhR2VQHqCHIftOgP_Qg",Positive
2023-12-06,Buone feste 😍,Positive
2023-12-06,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Positive
2023-12-06,🌠💯🎄🌟🎅,Positive
2023-12-14,Meravigliosa,Positive
2023-12-14,Quanta cattiveria in questi commenti! 😓 Quanto può arrivare in basso l’essere umano 😞 Cosa non fa l’invidia e l’odio ?! 🙁,Negative
2023-12-14,Trova uno sponsor,Positive
2023-12-14,Ti manca solo la foto di tua figlia che fa' la cacca 💩 pagata con un cache ..enorme . e' te per avere quei soldi .. pubblicità..pubblichi😮,Negative
2023-12-14,Sfruttano noi poveri italiani .. detto tutto..basta nn sapere e' stare lontano da certi influenza 😘,Negative
2023-12-14,Esprimere un opinione personale non è nulla di negativo,Neutral
2023-12-14,❤️❤️❤️❤️❤️,Positive
2023-12-14,E sti  CA....I  della bambina dolcissima?? Che I suoi non si possono toccare ma lei lucra su quelli degli  altri?? Troppo  comodo .. me ne strafrego della figlia,Negative
2023-12-14,Tu fatte I cazzi Tua io dice quello che me pare allora????,Negative
2023-12-14,Allora prima de tutto te chi c..o tha chiamato e poi .. idiota sto  parla in dialetto romano frustrata Sarai te che segui sta accattona😂😂😂 o meio Sarai piu accattona de lei,Negative
2023-12-14,Ohhh te ne devi annaaaaa ma che c...o voi da me a rincoionita,Negative
2023-12-14,Leggendo tutti i commenti leggo tutta la vostra ipocrisia primo l'abete osannata idolatrata l'avete portata in palmo di mano e adesso cari benpensanti cari politicamente tutto correttissimo cari radical chic cane brave persone che non sbagliate mai niente riversate tutta la vostra frustrazione contro una persona che comunque vada ha avuto una vita fantastica ha una vita fantastica continuerà ad avere una vita fantastica un successo unico alla faccia vostra popolo Dio gli attori popolo di invidiosi e popolo di somari Un forte abbraccio a Chiara Ferragni,Negative
2023-12-14,❤️,Positive
2023-12-14,Ma chi commenta dicendo di non seguire più questo o quello… lui cosa sta facendo? Altra cosa… ma poi è necessario commentare tutto? Anche ciò che non ti piace? Ma se non ti piace non seguirlo? Un buon tacere non fu mai scritto!!!,Negative
2023-12-14,"Chiara, ma la scelta di pubblicare solo storie e non post permanenti, è dovuta al fatto che non vuoi che la gente commenti? Secondo me dovresti affrontare la situazione in altro modo.",Negative
2023-12-14,"get informed, she really did a horrible thing.",Negative
2023-12-14,.,Positive
2023-12-14,Profili falsi...complimenti...solo avidità tu e tuo marito,Negative
2023-12-14,Esatto,Neutral
2023-12-14,"Vi ricordo che state commentando in maniera violenta sotto il post di una bimba, poi in tribunale piangete. E i leoni da tastiera diventano barboncini",Negative
2023-12-14,"I commenti qui sotto sono vomitevoli, pensano tutti di essere migliori e invece...",Negative
2023-12-14,Bellissima,Positive
2023-12-14,😍😍😍😍,Positive
2023-12-14,"Purtroppo nessuno ti perdonerà questo errore, io non so se ti rendi conto di come fai i soldi e dei pirla che ti seguono: non sei un buon esempio; non sai nemmeno parlare in italiano, impero fondato sul nulla",Negative
2023-12-14,✨❤️,Positive
2023-12-14,❤️ gli invidiosi hanno trovato un pretesto,Negative
2023-12-14,Amoreeeeeee ❤️,Positive
2023-12-14,San Vittore ti aspetta chiarè 🙌,Positive
2023-12-14,"Io credo che sia arrivata troppo in alto e ha fatto venire troppa gelosia a gente troppo stupita , io la stimo e ammiro ancora di più , quando iniziano a farti apparire come un mostro vuol dire che sei arrivata a far rosicare tutti . 👏",Positive
2023-12-14,❤️❤️,Positive
2023-12-14,❤️😍,Positive
2023-12-14,"Il problema qui è tutto tuo che non dai aria al cervello prima di darla alla bocca,  quelle come te sono boccalone e credono a tutto quello che sentono, la Ferragni finché non sarà giudicata  dalla legge non può essere giudicata da persone senza cervello che vanno dietro come pecore agli stupidi invidiosi della sua fortuna.",Negative
2023-12-14,Avrà sbagliato...ma state esagerando con questi commenti di merda. Siate superiori e invece di scrivere porcate togliete il follow e state zitti. Va bene dire il proprio pensiero ma c'è modo e modo. Offendere una persona non vi fa né più grandi né più intelligenti. Un buon tacere non fu ma scritto ricordatevelo,Negative
2023-12-14,Vorrei poter vedere cosa hanno fatto di buono per la società tutte le persone che insultano pesantemente sotto ogni post di Chiara Ferragni… e sopratutto vorrei vedere se queste persone non hanno mai fatto errori nella vita. VI piace proprio sfogare la vostra frustrazione sui social…,Negative
2023-12-14,😍😍😍,Positive
2023-12-14,Chi troppo vuole niente avrà 😵‍💫,Negative
2023-12-14,STUPENDA ♥️♥️♥️♥️♥️,Positive
2023-12-14,❤️😍,Positive
2023-12-14,😍,Positive
2023-12-14,Quello che faresti tu probabilmente!,Positive
2023-12-14,Leone è un bel bambino! Ma Valentina è di una simpatia stupenda!!😍😍,Positive
2023-12-14,Che amarezza,Negative
2023-12-14,Verissimo ❤️,Positive
2023-12-14,ciao chiara ❤️😍 Andiamo dal parrucchiere con la ragazza? entrambi con la stessa acconciatura. Bellissimo.,Positive
2023-12-14,chiara ma la fede?,Positive
2023-12-14,❤️❤️❤️,Positive
2023-12-14,❤,Positive
2023-12-14,Tutto questo odio sotto un post con dei bambini dove finirà questo mondo....,Negative
2023-12-14,❤️❤️❤️❤️❤️,Positive
2023-12-18,Brava attrice,Positive
2023-12-18,"Vorrei vedere te, con una famiglia a carico e una sensibilità notevole a dover sentirti massacrata GIORNALMENTE da persone, giornalisti, media e governo! Per quanto una persona possa aver sbagliato (ed esiste la legge per rimediare, nessuno sa veramente com’è andata) è ingiusto dover far fronte a tutto questo odio da soli.",Negative
2023-12-18,"Mucha fuerza 🙏🙏🙏🙏 todo saldrá bien ya verás, las buenas intenciones Dios las premia ❤️",Positive
2023-12-18,🤡,Positive
2023-12-18,"quanti moralisti sotto ai suoi post. capita a tutti di sbagliare e ci sono persone che commettono danni molto più grandi. non trattatela come se voi foste perfetti, almeno lei ha avuto il buon senso di scusarsi",Positive
2023-12-18,"Secondo me il più grosso errore che hai fatto , è quello di non aver investito, una parte degli incassi in un bel paio di puppe . Con una terza , saresti perfetta.",Negative
2023-12-18,Stolen money new house. SO SAD!,Negative
2023-12-18,"Ha fatto benissimo. Alle persone che scrivono solo cose stupide e cattive che si credono perfetti! Non dev’essere data la possibilità di esprimersi.
P.S si scrivo male sono straniera.",Positive
2023-12-18,❤️,Positive
2023-12-18,Chiara io sarò sempre con te..,Positive
2023-12-18,❤️,Positive
2023-12-18,Chiara in questo momento capisce gli adolescenti incolpati per la fame nel mondo dalle proprie madri😂😂😂😍😍 e basta romper i coglioni,Negative
2023-12-18,"Os seguía por los niños, me encantabais como familia. Siento decepción total total y por eso dejo de seguiros, aprovecharos de niños enfermos... Bloqueais los comentarios, no hace falta decir nada más",Negative
2023-12-18,Por eso dejo de seguiros,Negative
2023-12-18,"Por cierto,  tampoco hace falta ostentar de esta manera, decepción total, salud",Negative
2023-12-18,❤️,Positive
2023-12-18,"Chiara, keep being yourself and keeping Milan fashionable and Italian. Love you! Ti Amo.",Positive
2023-12-18,"Perdonami, quindi tu stai dicendo che DEVI ACCETTARE di ESSERE MASSACRATA? Ma vi siete bevuti il cervello! Nessuno mai dovrebbe sentirsi in dovere di essere massacrata. Io credo che nessuno a parte ambo le parti sanno REALMENTE com’è andata, il polverone mediatico a cui vi affidate ne ha altrettanto profitto, ci guadagna nell’amplificare quanto successo. Dico solo che aldilà di tutto dall’altra parte c’è una persona, che sicuramente ha sbagliato e ne pagherà le conseguenze per un bel po’, ma non per questo deve essere massacrato, l’odio delle persone ha un impatto a livello celebrale incredibile, e potrebbe senz’altro essere riversato sui bambini questo malessere. Ho solo detto che UMANAMENTE è sbagliato massacrare una persona psicologicamente. Svegliatevi",Positive
2023-12-18,مساء الخير : ciao 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,Positive
2023-12-18,Ma mica li leggono loro! Ha un’agenzia che la sta seguendo…che se ci pensi è ancora peggio! Super strategia proprio 😂,Negative
2023-12-18,"And it‘s not only the backlash from the community but all the sponsors must be so angry and doing crisis management. Think of all the money they spent on ads with her. L’Oréal, Nespresso… I follow over ten years from her second post on tbs blog and as a long time follower I am so disappointed how she presented herself and how she handles this now. But who cares what your community thinks, when you can sleep on silk in your Villa at lake como right?",Negative
2023-12-18,♥️,Positive
2023-12-18,Stai divorziando finalmente?,Positive
2023-12-18,❤️❤️❤️❤️,Positive
2023-12-18,❤️,Positive
2023-12-18,Ma per favore,Neutral
2023-12-18,Oooo Boni i panettoni eh,Neutral
2023-12-18,Distribuisci i soldi che hai fregato,Negative
2023-12-18,L uovo di pasqua è già pronto?,Positive
2023-12-18,bugiarda  vai via  nn esci piu,Negative
2023-12-18,"The greed! 
It bothers me that you use your kids so much. Especially because it is sick kids you put below your enrichment. 
Unfollowing 😡",Negative
2023-12-18,❤❤❤❤🌟🌟🌟🌟💎💎💎💎,Positive
2023-12-18,Ridicola... Credi di poter continuare a prenderci in giro tutti... Prima pianti e ora che allegria... 🤔,Negative
2023-12-18,". L'impero  non crollerà  come un castello di  sabbia!!! Ecco perché  sono così  sereni!!! In Italia  poi si dimentica  tutto.. e tutto  tornerà  come  prima!! Il tapino  che non  paga le tasse forse perché  in difficoltà  ha famiglia  da mantenere e dato i tempi non arriva  a fine mese, bene costui verrà  perseguitato  fino  alla  resa",Negative
2023-12-18,"Si ci sono mamme, lavoratrici che NON riescono ad arrivare a METÀ mese e magari x fare del bene si sono tolti soldi x loro  è stato un sacrificio",Negative
2023-12-18,❤️,Positive
2023-12-18,forza Chiara❤️❤️,Positive
2023-12-18,Well done 👏,Positive
